url,pr,tic,title,trafic
http://hudhmp.com/,2,0,hudhmp,6
http://tortolin.ru/,1,0,"Торты ручной работы на заказ",154
http://daritel.livejournal.com/,2,0,daritel.livejournal.com,789
http://yarlitera.ru/,-1,0,"Типография Буква - оперативная и качественная полиграфия в Ярославской области",11
http://cheapestflights.ru/,0,0,"CheapestFlights.ru - самые дешёвые авиабилеты",20
http://comstroygroup.ru/,0,0,"Компания КОМСТРОЙ",34
http://grilled.ru/,0,0,"На пикник",12
http://www.rumuslims.net/,2,0,"Первая Исламская Социальная Сеть",73
http://www.dotalife.ru/,2,0,"Все про игру DotA Allstars - карты, реплеи, статьи",652
http://kgf-audit.ru/,0,0,"Компания Финанс",17
http://www.chashkorez.ru/,1,0,"Чашкорезные станки WoodVER",9
http://www.mosokna-911.ru/,0,10,"Московские окна",56
http://www.russartel.ru/,0,160,"""Русская артель"" - мебель из натуральной древесины по уникальному дизайну",1484
http://nasha-tk.ru/,0,0,"Наша транспортная компания (ООО ""ТрансКоМ-Юг"")",5
http://kraslesa.narod.ru/,0,0,"Продажа пиломатериала и круглого леса в новосибирске",97
http://advpay.ru/,0,0,"ADVPAY.RU - Платежные терминалы и комплектующие",41
http://orenburg-trolleybus.narod.ru/,2,0,"Оренбургский троллейбус",146
http://helpcomputerblog.ru/,-1,0,helpcomputerblog,398
http://nv-news.com/,5,130,"Независимые новости",88547
http://onlinehtml.narod.ru/,3,0,"Online-учебник по языку HTML - OnlineHTML",68
http://lifeprints12.ru/,1,0,LifePrint,109
http://body-clinic.ru/,0,30,"БОДИ - центр эстетической медицины",896
http://brudno.com.ua/,-1,0,Брудно!,332
http://www.ventraplast.ru/,-1,0,ВентраПласт,8
http://listsalon.ru/,0,0,"Лучшие автосалоны москвы",8
http://www.c2f.ru/,-1,1800,"Бизнес-сообщество журнала ""Консультант""",3
http://www.fullhd.tv.tr/,-1,0,fullhd,52
http://novosti-dny.com/,0,30,http://novosti-dny.com/,25431
http://xp-windows7.ru/,1,0,"windows скачать",20435
http://baca.ru/,0,0,baca,17
http://www.zierer.ru/,0,10,"Кровельные и фасадные облицовочные панели Zierer",124
http://deti-moi.ru/,1,0,"Проект ""МОИ ДЕТИ""",354
http://lipstanok.ru/,2,0,"Станки производства Липецкого станкостроительного предприятия",3661
http://праздникдлявас.рф/,0,0,"Праздник для Вас",28
http://australiaopals.ru/,0,0,"Черные Австралийские Опалы",85
http://www.magia-svechei.info/,-1,0,"Магия свечей",7
http://inetpolice.ru/,2,0,"Internet Police - Агентство Интернет Полиция",2592
http://лайлик-меджик.необрокер.рф/,-1,0,"Лайлик-Меджик, торговая компания",5
http://furgonex.ru/,0,0,furgonex.ru,70
http://modnitsa-kids.ru/,1,0,"ООО ""Модница"" - товары для новорожденных, одежда для детей, одежда для кукол",149
http://masterklimat53.ru/,0,0,РусскийСтройМастерКлимат,42
http://blog.m-prazdnik.net/,0,0,"Блог сайта ""Планета праздничного настроения""",11
http://psycenter.by/,3,30,"Психологический центр ""Центр успешных отношений""",7072
http://www.avgur.org.ua/,0,0,"ЧП ""АВГУР"" г. Донецк ремонт компьютерной техники",56
http://tabakpodarki.ru/,1,30,ТабакПодарки,12616
http://playstoremarket.ru/,-1,0,"Play Store Market - маркет бесплатных Android приложений",3340
http://kinderknigi.com/,0,0,"Детские книги",250
http://www.ukrat.ru/,3,0,"Взыскание по ОСАГО, КАСКО - ЮРИСТОКРАТ",18079
http://goodradio.ucoz.ru/,1,0,"Радио онлайн",3
http://www.gideon.com.ua/,0,0,Гидеон,319
http://larinko.ru/,0,0,Freedom,69
http://brh.ru/,2,325,"Отель Брайтон",8
http://jafo.ru/,1,0,"Поисковик Торрентов",32
http://englishverbs.ru/,0,0,"Английские глаголы в картинках",52
http://centrdawl.ucoz.ru/,-1,0,"Акулы рынка - совершенство управления ресурсами.",95
http://expert-73.ru/,0,0,Стройэксперт,11
http://stomatolog-smolensk.ru/,1,0,"ООО Стоматолог",21
http://al-kosinus.livejournal.com/,1,0,"ЖЖ белорусского студента",6
http://money-games.biz/,1,0,http://money-games.biz/,24
http://www.sion.uz/,2,20,Sion.uz,2719
http://parfumgold.com.ua/,1,0,"ParfumGold Интернет-магазин настоящей парфюмерии, декоративной косметики, духов",4
http://luxmobila.com/,-1,0,"Мобильники по низким ценам. Продажа, покупка.",3
http://www.vipseo.ru/,4,800,"Комплексное продвижение сайтов",1180
http://hak-world.ucoz.ru/,-1,0,Hak-World,315
http://topjerseybola.com/,-1,0,"Jual Jersey Bola",3
http://androidrusnew.gwchost.com/,-1,0,"Скачать игры для андроида",300
http://www.estadoor.ru/,3,1000,"Установка и продажа стальных дверей, входные двери на заказ, металлические двери",4656
http://sammybraddynude.erotomania.org/,-1,0,http://sammybraddynude.erotomania.org,32
http://www.viprazvod.ru/,1,0,"Юридическая помощь по семейным делам",2864
http://bulochki.net/,0,10,"Рецепты булочек",1227
http://www.promarketspb.ru/,0,10,"Производство одеял и подушек, текстиль для дома",144
http://batym.ru/,2,0,Кинобатум,19
http://www.emancipator.ru/,0,0,Освободитель,3
http://lab127.ru/,3,0,"Lab127 R&D wired and wireless projects. Проекты Lab127. Беспроводные сети.",129
http://track-search.ru/,-1,0,"Отслеживание почтовых отправлений",106
http://jxd-ua.com.ua/,-1,0,JXD,1007
http://www.scar.zdorov.biz/,-1,0,"Лечение шрамов полсе аппендицита.",10
http://msteh.ru/,1,0,"Фирма МСТ - Малая строительная техника",1688
http://bertenev.umi.ru/,-1,0,"Специалист Бертенев А.С.",30
http://ache.qqcc.org/,-1,0,ache.qqcc.org,1
http://lshop.com.ua/,0,0,"Магазин Ламбре в Украине",22
http://www.thehotrods.net/,1,10,"The Hot Rods",1849
http://odva.kz/,0,0,"Кислородный баллончик Kislorod Prana в Казахстане",3
http://wildmobi.ucoz.ru/,-1,0,"Wildmobi мобильный журнальчег",1
http://dodge.autosvit.com.ua/,0,0,"Продажа Dodge Украина, клуб автолюбителей Dodge",98
http://agrofirmapro.ru/,1,0,"Агрофирма Промышленная",218
http://anyoption-otzivy.ru/,0,0,"AnyOption отзывы",96
http://synced.ucoz.com/,0,0,"Сайт клана LIGA.PLAN",11
http://stroyka-kazan.ru/,1,0,"Интернет магазин стройматериалов в Казани",2941
http://dog-tour.com/,0,0,"Дог Тур, путешествия с собаками, поездки на выставки",47
http://nasha-starina.ru/,0,0,"Блог Наша старнина - вырезки из старинных журналов",587
http://onub.org/,4,0,ONUB,3
http://klimat-luks.ru/,1,0,"Климат-Люкс, ООО, торгово-монтажная фирма",25
http://aforizmy-aforizmy.ru/,1,0,Афоризмы-Афоризмы.Ру,12
http://ukladka-shop.ru/,0,0,"Продажа облицовочной плитки в магазине Укладка",104
http://pilipok.ru/,1,0,"Пилипенко Виталий Павлович pilipok.ru",165
http://auditmedia.ru/,2,20,АудитМедиа,2924
http://star-tm.ru/,0,20,"Компьютеры : полезные советы и рекомендации",13
http://easy-avto.ru/,0,0,"Авто отзывы, цены, тест драйв",9
http://www.glassbox.ru/,0,0,"Стекло листовое полированное продажа оптом от ящика.",802
http://www.vaarp.ru/,0,70,"Продажа полимеров и изделий из полимеров.",313
http://ntc-ra-veselovskogo.neobroker.ru/,-1,0,"НТЦ Р.А. Веселовского",20
http://www.avtovolokno.ru/,0,0,"Автоволокно.ру — проводник в мир автоновостей, тест-драйвов, автопрома, автообзо",33
http://soccerface.ru/,0,0,"Soccerface. Сообщество любителей футбола.",60
http://ford.autodealerr.ru/,-1,0,"Автомобили Ford",32
http://autoretro.su/,1,10,"Уральский картофель",4433
http://sync.podzone.net/,-1,0,synczone.ru,942
http://www.nikelarin.ru/,3,0,"NikELarin.ru - Art-галерея современного худжника Ларин Николай Евгеньевич.",11
http://www.raskrutimsait.net/,4,0,"Продвижение сайта, раскрутка сайта, продвижение сайта киев тел. 8 (095) 163-56-4",1505
http://weichai.com.ua/,0,0,"Представитель компании Weichai Power в Украине",247
http://garra.w6.ru/,-1,10,"Rif - smart",21
http://www.amala.do.am/,-1,0,"И здесь и сейчас",611
http://my-windows7.at.ua/,-1,0,"Все для Windows7. Новини про Windows 7 та інші версії OC",9
http://sun-expo.com/,0,0,"Сан-Экспо Организация выставочных проектов",384
http://www.pcchip.ru/,0,0,pcchip.ru,9
http://anekov.net/,0,0,"Anekov.Net - все анекдоты России",255
http://doktorborovikov.ru/,0,0,"Боровиков Ю. Е. врач -андролог, дерматовенеролог",383
http://flos.ucoz.ua/,2,0,"Кімнатні рослини",175
http://avantstyle.com.ua/,2,0,"линолеум, ковролин, ковровые покрытия, напольные покрытия - Авант Стиль",2118
http://party-real.ru/,1,0,PARTY-REAL,15
http://ekovdm.com.ua/,0,0,"ООО ""ЭКОВДМ""",113
http://somovo48.ru/,0,0,"Сомово мебель",576
http://brand4kids.com.ua/,2,0,"Детская одежда от ведущих брендов. Интернет магазин детской одежды brand4kids",4
http://centr-golodaniya.kz/,0,0,"Лечебное голодание",172
http://coilovers-store.ru/,-1,0,"Интернет магазин винтовой подвески в России",168
http://cbitep.info/,-1,0,http://cbitep.info/,10
http://propravovedenie.ru/,0,0,правоведение,4
http://www.pz-city.ru/,4,60,"Администрация города Полярные Зори",3670
http://arevik-tur.ru/,1,10,"Компания ""Старвэй"" работа и образование за рубежом",483
