url,pr,tic,title,region,description
http://www.ftt.pl.ru,1,10,"Пожаротехнические технологии",Санкт-Петербург,"Системы пожарной и охранной безопасности - технический центр фирмы ""Autronica Fire and Security AS"". Информация о фирме и об оборудовании Autronica FS AS, форма обратной связи."
http://zero.h1.ru/js.htm,-1,0,"zer0c0ld web server",Москва,"Учебник по JavaScript. Основные объекты JavaScript. Функции и HTML вставки. Интеграция JS для Netscape."
http://www.sidorovich.com,0,0,"Сидорович и партнеры - консалтинговые услуги",Москва,"Корпоративное управление и стратегия, привлечение инвестиций, финансирование внешнеторговых операций, бюджетирование и управленческая отчетность."
http://www.primjera.ru,3,275,"Премьера - автоцентр",Тольятти,"Официальный дилер концерна Volkswagen в Поволжском регионе, продажа новых автомобилей Volkswagen и Audi как со склада в Тольятти, так и на заказ."
http://igumnov-school.ru/,1,0,"Сайт выпускников Детской музыкальной школы имени К.Н. Игумнова",Москва,"История школы, ученики, ставшие известными исполнителями, воспоминания о педагогах. Фотографии, аудио- и видеозаписи концертов учащихся и преподавателей школы. Фотографии выпусков разных лет."
http://ipoteka.boxmail.biz,2,0,"Кредитный потребительский кооператив граждан",Санкт-Петербург,"Кредитная программа - решениe материальных проблем связанных с приобретением недвижимости."
http://www.service.dp.ua,2,80,"Сервис - компьютерный магазин",Днепропетровск,"Каталог товаров: компьютеры, оргтехника, расходные материалы, бумага. Техническая поддержка, полезные ссылки."
http://orkestr-rossii.ru,1,0,"Душа России - русский народный оркестр РАМ имени Гнесиных",Москва,"Об оркестре, концерты, репертуар, фотогалерея."
http://mmikryukov.narod.ru,-1,0,"Микрюков Михаил - персональная страница о работе и отдыхе",Пермь,"Фотографии из походов, красоты Египта, пещеры и др.  Авторская песня: mp3-файлы, тексты, аккорды. Справочные материалы, технические и технологические правила и инструкции."
http://www.rgmart.ru,2,30,"Март - рекламная группа",Екатеринбург,"Изготовление и размещение рекламы на бортах и внутри салонов автобусов."
http://biznes-bolika.ru,3,20,"Инвестиции по методу Болика - блог","Кривой Рог","Заметки об инвестициях и инвестиционной деятельности, которые способны привести к финансовой независимости и пассивному доходу."
http://www.avlux.ru,2,375,"AV Люкс - магазин аудио и видеотехники",Санкт-Петербург,"Аудио и видео техника, Hi-Fi компоненты и системы Home Cinema в Санкт-Петербурге: музыкальные центры, Car Audio, видеомагнитофоны, телевизоры, видеокамеры, DVD, домашние кинотеатры."
http://www.btz.newmail.ru,3,0,"Белтрансзапчасть - автозапчасти",Минск,"Электрооборудование и запчасти к автотракторной технике: ГАЗ, УАЗ, ЗИЛ, ВАЗ, Волга, Москвич, ГАЗель, МАЗ, КамАЗ, КрАЗ, Урал, РАФ, ЛАЗ, ЛиАЗ, ПАЗ, МТЗ."
http://polyane-blog.ru,2,10,"Спортивные новости - блог",Москва,"Обзор спортивных событий, футбольных интриг и обзор строящихся стадионов."
http://www.kirkorov.ru/,4,450,"Киркоров Филипп - официальный сайт певца",Москва,"Дискография. Видеография. Фотогалерея. Афиша. Фанклуб."
http://www.zags-2001.narod.ru/,0,0,"Всенародный виртуальный ЗАГС",Москва,"Здесь можно жениться, выйти замуж в виртуальном мире. Здесь нет преград для общественных предрассудков - если партнер в 'реальном' мире уже занят."
http://cancerscreen.narod.ru/,0,0,"Национальная программа онкологического скрининга",Москва,"Рекомендации по профилактике рака, диагностике, лечению, формированию групп онкологического риска и их динамическому наблюдению."
http://www.kalagia.com/jupiter.php?part=29,0,20,"На что обратить внимание в 2007 году - астропрогноз",Минск,"Рекомендации астролога Ольги Ибрагимовой представителям всех знаков Зодиака."
http://beljournalist.info,2,10,"Белорусский журналист - студенческое интернет-издание",Минск,"Новости и фоторепортажи о культурной жизни Беларуси, интервью с интересными людьми. Заметки о студенческой жизни. Проект студентов Института журналистики Белорусского государственного университета."
http://www.artem-kashkanov.ru,2,100,"Фотосайт Артема Кашканова - статьи и фото",Москва,"Статьи о пейзажной фотографии. Авторские фото природы, статьи о фото, виртуальная фотошкола."
http://salut-kazan.ru,2,30,"Энергия-Сервис - организация и проведение пиротехнических шоу",Казань,"Комплекс услуг по разработке и проведению пиротехнического оформления праздников. Спектр фейерверков и салютов в ночных и дневных вариантах."
http://www.dymnikov.ru/,2,0,"Дымников Александр",Санкт-Петербург,"Галерея работ фотохудожника из Санкт-Петербурга. Цветные, черно-белые, панорамные фотографии, монокль. Северный пейзаж. Горы. Виды С-Петербурга, городов."
http://gidroart.narod.ru/,0,0,"Гидроаппаратура - Тульское научно-производственное предприятие",Тула,"Выполняет механосборочные работы. Реализует: насосы, электродвигатели, дымососы, редукторы, вентиляторы, компрессоры, задвижки, вентиля."
http://www.avto-peregon.ru,1,0,"Владимир Харламов - автоперегон",Москва,"Сайт, посвященный поиску, покупке и перегону автомобилей из Германии. Заказ автомобилей из Германиии. Полезная информация, советы, вопросы и ответы."
http://promtech-b-u.chat.ru/technika,-1,0,"Дивайс - продажа оборудования в ассортименте",Архангельск,"Прайс-лист и каталог продукции: горное, станочное, высоковольтное оборудование, кабельная продукция, конверсионная спецтехника, поставки лома черных металлов и прочее."
http://neutron.com.ua,1,0,"Блог Neutron`a",Киев,"Заметки о сети, музыке, видео, спорте, социальных сервисах. Статьи, факты, документация для новичков."
http://www.interunion.ru,3,250,Интерюнион-М,Москва,"Туры в Испанию, Турцию, Италию, Египет, Францию, Чехию и др. страны. Бронирование туров и услуг, продажа авиабилетов."
http://www.sigma99.ru/,5,110,"Сигма - поставка компьютерной техники",Балашиха,"Прайс-листы, описание условий поставки. Модернизация, настройка ПО, бесплатная доставка по Москве и области."
http://vypusknik.edu.ru,5,60,"Выпускник - информационный проект",Москва,"Новостная лента. Каталог ссылок: сведения об экзаменах, подготовке в ВУЗы, олимпиадах и конкурсах, образовании за рубежом и центрах труда и занятости. Нормативные документы Минобразования России."
http://www.s-kulchubaevo.narod.ru,0,0,"Старокульчубаевская основная общеобразовательная школа",Старокульчубаево,"Новости школы, сведения об администрации и педагогах. Доска почета. Методические материалы. Фотоальбом."
http://www.keanu.ru,3,70,"Ривз Киану - актер",Санкт-Петербург,"Биография. О работах в кино и музыкальной карьере. Статьи и заметки об актере, публиковавшиеся в российской прессе. Фотографии. Фан-клуб. Творчество фанов: фанфики и фанарт."
http://opexobo-3yebo.ru,2,30,"Орехово-Зуево - сайт города",Орехово-Зуево,"Новости города, фоторепортажи, телефонный справочник, расписание электричек и автобусов. Книги и песни о городе Орехово-Зуево."
http://www.educationsystems.info/,4,40,"Системы образования - справочник",Лондон,"Информация о системах образования в странах мира."
http://top10s.ru/,1,0,"Топ 10 - рейтинги лучших",Москва,"Собрание популярных, актуальных и просто интересных рейтингов топ 10 из самых разных сфер, от политики до искусства. Возможность дополнять, а также создавать собственные списки лучших."
http://mjfox.narod.ru,-1,0,"Фокс Майкл Джей - актер",Москва,"Биография, фильмография, лучшие ссылки на фансайты и другое."
http://meotida-notos.blogspot.com,0,0,"Meotida.Notos - блог KeJSaR",Керчь,"Статьи, заметки, комментарии по социологии, истории, культуре, философии, этике и смежным дисциплинам."
http://www.tomak-xxi.ru,0,60,"Томак-XXI век - торговые автоматы",Москва,"Автоматы газированной воды марки Н-50П (cатураторные установки), автоматы для приготовления пончиков, пирожков и др. Технологическое оборудование."
http://dzerzhinsk-info.ru,1,0,"Дзержинск -сайт города",Дзержинск,"Материалы по истории Дзержинска, улицах, литературе, культуре, предприятиях."
http://bonsay.org.ua,2,20,"Мастерская бонсай - интернет-клуб",Киев,"Статьи и материалы по искусству бонсай, бесплатные видео уроки. Фотогалареи. Блоги."
http://www.trichview.ru,3,0,"TRichView - компоненты для Borland Delphi",Москва,"Компоненты Borland Delphi и С++Builder для редактирования текста с рисунками, таблицами и гиперссылками."
http://www.neurovita.ru/,2,190,"Нейро Вита - клиника восстановительной интервенционной неврологии и терапии",Москва,"Специализированный стационар для лечения нервных болезней и реабилитации. Интервенционные рентгенохирургические технологии для лечения последствий травм головного и спинного мозга, инсультов."
http://brsch.ucoz.ru/,-1,0,"Центр образования поселка Беринговского - общеобразовательная школа",Анадырь,"История школы. Новости, доска объявлений, информация для учеников и родителей. Методические материалы педагогов. Фотоальбомы."
http://www.paydox.ru,4,240,"PayDox - система электронного документооборота предприятия",Москва,"Управление документами, задачами и поручениями, интеграция с электронной почтой, корпоративным веб-серером."
http://russianGunner.com,2,40,"RussianGunner.com - сайт русских владельцев оружия в США",Юта,"Обсуждение по темам: приобретение, ношение, применение оружия; короткоствольное, длинноствольное, охотничье, холодное, коллекционное, антикварное оружие. Статьи на оружейные темы. Объявления о покупках или продажах оружия. Игры он-лайн."
http://chelo-vek.com,3,20,"Учимся жить правильно",Москва,"Статьи, повествующие о знании универсальных законов и их применении в обыденной жизни."
http://www.sampo.ru/~region/,2,0,"Регион, Петрозаводск",Карелия,"Информация для читателей и рекламодателей. Форма для отправки бесплатного объявления."
http://d12world.ru/,2,0,"D-12 - фан-сайт группы",Москва,"История, состав группы. Дискография. Фотоальбом. Интервью, рецензии."
http://www.nebolei.ru/,3,650,"Не болей – сборник публикаций о здоровом образе жизни",Москва,"Статьи на темы: методы контрацепции, красота и здоровье, способы лечения болезней, рецепты народной медицины, польза витаминов, употребление лекарств и др. Он-лайновые консультации."
http://trauma.ru,3,80,"Trauma.ru - магнитно-резонансная томография, рентген на дому, продажа рентгенаппаратов","г. Москва, пер. 2-ой Тверской-Ямской, д. 10","Магнитно-резонансная томография (МРТ), компьютерная томография, рентген на дому в Москве. Виртуальная коронарография. Продажа мобильных рентгенаппаратов, рентгеновской пленки, химреактивов для обработки рентгеновской пленки."
http://www.electra.kuzbass.net/,-1,60,"Электра - продажа инструмента и оборудования",Кемерово,"Каталог товаров: инструмент, крепеж, садовое оборудование, насосы, котлы, расходные материалы и др."
http://rus.originclub.com/,-1,10,"Origin - международный клуб знакомств",Владивосток,"Перечень услуг: организация туров, услуги перевода, доставка подарков, визовая поддержка и др. Истории счастливых пар. Анкеты и фотографии мужчин. Гороскоп."
http://www.sibenzyme.ru,3,80,"СибЭнзим ООО","Новосибирская обл.","Разработка и производство ферментов метаболизма нуклеиновых кислот. Продукты для молекулярно-биологических исследований."
http://dwgneft.narod.ru/,0,0,"Коллекция чертежей",Москва,"Детали машин, автомобили и запчасти, нефтепромысловое оборудование, насосы, слесарный инструмент, приспособления, станки, клапана, кузнечный инструмент, начертательная геометрия."
http://www.loki.ru/,1,140,"Локи - информация о производителях каминов, печек, дымоходов, топок",Москва,"Камины, печки и аксессуары к ним от импортных производителей. Комплекс услуг по установке каминов и дымоходных труб. Консультации квалифицированных специалистов."
