url,pr,tic,title,region,cats,description
http://www.VodaiTeplo.com/,2,40,"""Термотехник-сервис"" - системы водоснабжения",Минск,"Бизнес, Строительство, Инженерные системы, Коммунальное теплоснабжение","Поставки систем водоснабжения, отопления и канализации. Описание оборудования, технические характеристики. Услуги по установке и ремонту водогрейных бытовых котлов. Образцы дилерских договоров."
http://www.auditbt.ru/,3,250,"""Аудит БТ"" - сопровождение бизнеса",Москва,"Бизнес, Финансы, Аудит, бухучет","Аудит, арбитражная защита, ведение бухгалтерского учета, консалтинговые и др. услуги. Прайс-лист. Контакты."
http://www.ki-expo.ru/,2,400,"""Kosmetik expo"" - выставочная компания",Россия,"Дом, Мода и красота, Универсальное","Организация выставок, проведение конкурсов, чемпионатов и конгрессов по косметологии. Календарь мероприятий. Условия участия, программы, списки участников, стоимость билетов и т.д. Контакты."
http://britneygallery.narod.ru/,0,40,"""Галерея Бритни Спирс""",,"Культура, Музыка, Поп-музыка","Биография певицы. Подборка фотографий, скринсейверов, иконок, тем для рабочего стола, скинов для WinAmp. Несколько видеоклипов."
http://mplants.org.ua/,3,110,"""Лекарственные растения"" - информационный портал",Россия,"Дом, Здоровье, Народная и нетрадиционная медицина","Описание свойств лекарственных растений, рецепты лекарственных сборов. Каталог рецептов по болезням и органам. Способы сушки, хранения и применения средств. Предостережения по использованию. Форум."
http://starline.in.ua/,2,70,"""Starline"" - охранные системы для автомобилей",Украина,"Авто, Запчасти, аксессуары, Охранные системы","Продажа авто- и мотосигнализаций, иммобилайзеров, GSM- и GPS-систем охраны и др. Условия гарантии. Онлайн-консультации. Адрес сервис-центра. +380 (57) 755-44-45"
http://unibelus.by/,3,190,"""Унибелус"" - продажа охранного оборудования",Минск,"Бизнес, Строительство, Инженерные системы, Охранно-пожарные системы","Перечень охранного оборудования: средства охранно-пожарной сигнализации, системы оповещения, видеонаблюдения, контроля доступа, охраны периметра и др. Прайс-листы. Нормативные документы. О компании."
http://yabloko.ua/,1,0,"""Yabloko.ua"" - онлайн-маркет",Украина,"Дом, Мода и красота, Косметика","Бытовая техника, фотооборудование, игровые консоли, украшения и косметика, пр. Цены. Подбор товаров по типу и цене. Виды доставки и оплаты. Памятка покупателя. Контакты магазина."
http://www.dom-strahovka.ru/,2,20,"""Дом бизнес консалтинг"" - страховой брокер",Санкт-Петербург,"Авто, Автострахование","Оформление полисов каско, ОСАГО, ""Зеленая карта""; страхование недвижимости, здоровья. Онлайн-заявки на обслуживание. Спецпредложения."
http://la-la.com.ua/,0,10,"""Ляля"" - производитель детской одежды",Украина,"Дом, Покупки, Одежда, обувь, аксессуары, Детская одежда и обувь","Производство и поставки комбинезонов, конвертов, шапочек, пижам, боди и т.д. Прайс-лист. Перечень магазинов с продукцией торговой марки. Контакты производства."
http://vk.com/app2657615,0,0,"""Маникюр для невесты"" - игра для девочек",,"Развлечения, Игры, Игровая, Социальные игры, ВКонтакте, Игры для девочек","Пользуйтесь различными цветными лаками, наклеечками и фасонами для ногтей. Можно также поменять цвет кожи невесты и добавить браслет или бутоньерку."
http://land-arts.ru/,0,50,"""Ландарт"" - садовый центр","Одесская область","Дом, Квартира и дача, Ландшафтный дизайн","Услуги по озеленению и благоустройству территории, проектирование зимних садов, продажа садовой техники и т.д. Иллюстрированный каталог растений с описаниями и рекомендациями по уходу. Фото работ."
http://www.mb-z.ru/,0,20,"""МБ запчасть"" - поставка автотракторной техники",Челябинск,"Справки, Транспорт, Автобусы и спецтехника","Каталог грузовых автомобилей, тракторов, бульдозеров, запчастей. Цены."
http://potutkov.ru/,2,60,"""Потютьков"" - мебельная фабрика",Россия,"Бизнес, Производство и поставки, Предметы потребления, Производство и поставка мебели","Кухни, прихожие, гостиные, кабинеты, пр. мебель. Фотокаталог. Форма заказа. Адреса дилеров. Контакты фирмы."
http://www.skf.com/portal/skf_ru,5,325,"""SKF Group"" - производство подшипников",Россия,"Бизнес, Производство и поставки, Машиностроение, Изделия для производств, Подшипники","Каталог продукции (подшипники, системы линейного перемещения и др.) ин. языках. Описания решений. Программы, продолжительность и стоимость курсов."
http://www.ra-gu.net/,4,450,"""Ragy"" - подборка поисковых систем",,"Hi-Tech, Интернет, Поисковые системы","Возможность, единожды заполнив форму запроса, подключить несколько поисковых систем. Регистрация почтовых ящиков и доменных имен на разных серверах. Аннотации и возможность скачать ПО для интернета."
http://voroninstudio.eu/,2,400,"""Voronin"" - дизайн-студія Миколи Вороніна",Україна,"Бізнес, Реклама, Рекламні послуги, Розробка стилю","Розробка презентаційних та корпоративних веб-сайтів, інтернет-магазинів; створення графічного дизайну: логотипів, буклетів, афіш, реклами та ін. Портфоліо. Статті та поради. Контакти."
